BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQIR,2022-08-29,Феррони1P1,RU000A103XP8,6.0,1428170.3,99.05,99.11,99.05,99.05,1.68,99.5,20.52,99.1,1441.0,99.11,99.11,99.05,1542166.6,1542166.6,1542166.6,2025-10-07,55.0,16.87,,,12.25,10.07,2022-10-23,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,БКСБ1Р-01,RU000A103YF7,3.0,34957.5,71.0,73.89,73.89,71.34,,71.34,,71.0,49.0,,67.68,71.34,0.0,502183.7,0.0,2024-11-17,,0.0,,,0.01,0.1,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ИАДОМ 1P12,RU000A103YK7,3.0,6001.93,88.63,88.68,88.63,88.63,0.13,88.65,7.4247,88.68,8.0,,,88.63,0.0,0.0,0.0,2031-08-28,2562.0,0.0,,,5.5,11.73,2031-08-28,2022-08-29,846.32,SUR,,,,,RUB,3
TQCB,2022-08-29,Сбер Sb01G,RU000A103YM3,86.0,4166335.8,100.49,101.0,100.5,100.5,26.04,100.64,8.51,100.95,4140.0,100.64,100.64,100.5,4166335.8,4166335.8,4166335.8,2023-11-10,415.0,8.38,,,8.8,43.88,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,СГтранс1Р1,RU000A103YP6,5.0,11063.9,100.36,100.61,100.6,100.6,7.59,100.58,9.94,100.61,11.0,,100.41,100.6,0.0,1137599.8,0.0,2026-10-26,717.0,9.95,,,9.9,24.68,2024-10-28,2022-08-29,1000.0,SUR,,9.8864,,2024-10-31,RUB,3
TQCB,2022-08-29,ВТБ Б1-251,RU000A103YS0,109.0,1025342.1,99.88,100.01,99.99,99.99,6.14,99.94,8.28,100.0,1026.0,99.94,99.94,99.99,1025342.1,1025342.1,1025342.1,2022-10-31,63.0,8.6,,,8.0,19.95,,2022-08-29,1000.0,SUR,,,7.8822,,RUB,3
TQOD,2022-08-29,ФридФин1П2,RU000A1040E8,4.0,12402.0,95.4,95.4,95.4,95.4,2.56,95.4,6.94,95.4,13.0,95.3803,95.3838,95.4,1486226.22,1315248.45,1486226.22,2026-11-06,,6.94,,,5.5,13.71,,2022-08-29,1000.0,USD,,,,,USD,3
TQRD,2022-08-29,ОРГрупп2Р2,RU000A1040H1,7.0,2182.4,8.5,8.9,8.79,8.79,7.4,8.73,,8.9,25.0,,8.71,8.79,0.0,500117.1,0.0,2025-10-22,,0.0,,,13.5,11.1,,2022-08-29,1000.0,SUR,,,,2025-10-22,RUB,3
TQCB,2022-08-29,Ульоб34004,RU000A1040S8,26.0,637796.6,100.65,101.69,101.3,101.3,21.98,101.24,9.24,101.25,630.0,101.24,101.24,101.3,637796.6,637796.6,637796.6,2026-11-10,776.0,9.27,,,9.55,26.43,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ОхтаГрБП02,RU000A1040V2,63.0,541565.4,96.86,97.5,97.2,97.15,4.45,97.23,14.74,97.2,557.0,97.23,97.23,97.15,541565.4,541565.4,541565.4,2024-11-12,712.0,14.73,,,12.5,31.16,,2022-08-29,1000.0,SUR,,,,,RUB,3
