BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQIF,2022-10-14,АрсагераФА,RU000A0HGNG6,1.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,1.0,,9240.0,8000.0,0.0,545114.0,0.0,13869.45,3
TQIF,2022-10-14,БКСXXIIвек,RU000A0JP708,78.0,127187.2,242.6,236.8,249.2,237.8,240.0,237.8,530.0,,241.6,237.8,0.0,500243.8,0.0,2126096.99,3
TQIF,2022-10-14,БКС РосАкц,RU000A0JP773,189.0,1909574.0,292.5,284.0,292.5,286.0,289.5,286.5,6601.0,289.5,289.5,286.0,1909574.0,1909574.0,1909574.0,8315653.62,3
TQIF,2022-10-14,БКС Основа,RU000A0JP799,116.0,1717976.8,279.0,273.6,281.0,274.4,279.0,273.6,6159.0,279.0,279.0,274.4,1717976.8,1717976.8,1717976.8,4861431.8,3
TQIF,2022-10-14,ГлобалИн,RU000A0JPRL4,10.0,3746.0,291.0,278.0,292.0,278.0,288.0,278.0,13.0,,280.0,278.0,0.0,550837.0,0.0,54903.14,3
TQIF,2022-10-14,ОПИФПрРес,RU000A0JPRP5,14.0,4690.0,129.5,124.5,129.5,129.0,127.0,129.0,37.0,,128.0,129.0,0.0,667932.0,0.0,268037.23,3
TQIF,2022-10-14,ПИФАкции,RU000A0JR282,25.0,41720.5,27.15,27.15,28.1,28.0,27.8,28.1,1500.0,,27.0,28.0,0.0,506352.0,0.0,528265.11,3
TQIF,2022-10-14,ПИФИнМосБр,RU000A0JR290,8.0,76465.0,5000.0,5000.0,5205.0,5170.0,5100.0,5170.0,15.0,5035.0,5030.0,5170.0,961785.0,800140.0,961785.0,430943.41,3
TQIF,2022-10-14,ПИФКазна,RU000A0JR2C1,36.0,45089.0,71.95,71.35,72.0,71.4,71.55,71.4,630.0,,71.3,71.4,0.0,800228.0,0.0,904048.23,3
TQIF,2022-10-14,НакопРез,RU000A0JT4S1,45.0,13803211.5,2152.5,2124.5,2152.5,2145.0,2144.0,2145.0,6438.0,2144.0,2144.0,2145.0,13803211.5,13803211.5,13803211.5,22295909.74,3
TQIF,2022-10-14,БКСИмперия,RU000A0JVHY6,163.0,2613230.8,318.0,293.6,318.0,300.4,299.8,300.4,8717.0,299.8,299.8,300.4,2613230.8,2613230.8,2613230.8,2483038.14,3
TQIF,2022-10-14,СФНАрБизн,RU000A0JWAW3,1.0,380000.0,380000.0,380000.0,380000.0,380000.0,380000.0,380000.0,1.0,,380000.0,380000.0,0.0,20830000.0,0.0,2723636.36,3
TQIF,2022-10-14,СоврАрБиз3,RU000A0ZZ5R2,8.0,1119315.0,990.0,950.0,990.0,950.0,950.0,950.0,1178.0,950.0,950.0,950.0,1228610.0,1210515.0,1228610.0,5013935.38,3
TQIF,2022-10-14,ИПИФМирИнв,RU000A0ZZCD8,1.0,4800.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,4.0,,1154.0,1200.0,0.0,2423380.0,0.0,1620001.09,3
TQFD,2022-10-14,БКСФундВыб,RU000A1007R9,106.0,44840.9,15.41,15.04,15.85,15.62,15.48,15.62,2897.0,982.75,982.75,15.62,2847024.97,2847024.97,2847024.97,223705.48,3
TQIF,2022-10-14,ЗПИФ ПНК,RU000A1013V9,513.0,8097978.8,1754.8,1754.8,1766.0,1762.2,1760.8,1762.2,4599.0,1760.8,1760.8,1762.2,8097978.8,8097978.8,8097978.8,15826246.64,3
TQFD,2022-10-14,ЗПИФ ФПР,RU000A101NK4,4.0,1644.44,9.35,9.34,9.35,9.23,9.32,9.34,176.0,591.8,591.8,9.23,1584883.69,1584883.69,1584883.69,79787.0,3
TQIF,2022-10-14,ЗПИФ ФПР,RU000A101NK4,185.0,1548900.6,594.0,584.6,596.0,585.8,592.0,596.0,2617.0,591.8,591.8,585.8,1584883.69,1584883.69,1584883.69,5065812.27,3
TQIF,2022-10-14,ОПИФ ОФЗ,RU000A101UY0,4188.0,11417690.0,1037.0,1037.0,1039.0,1039.0,1037.5,1039.0,11005.0,1037.5,1037.5,1039.0,11417690.0,11417690.0,11417690.0,8629238.61,3
TQIF,2022-10-14,ПАРУС-ОЗН,RU000A1022Z1,17.0,176286.0,6299.0,6282.0,6299.0,6299.0,6296.0,6299.0,28.0,,6288.0,6299.0,0.0,597324.0,0.0,1421589.14,3
TQPI,2022-10-14,ЗПИФ ВДО,RU000A1027E5,6.0,426860.0,15510.0,15090.0,15510.0,15480.0,15250.0,15480.0,28.0,15390.0,15340.0,15480.0,1015660.0,644100.0,1015660.0,2080954.85,3
